s,Pa,rpm
9.83724000,0.827378153800964,1134.29522816527
9.83726000,0.8023442029953,1134.29882698419
9.83728000,0.797463238239288,1134.30242580311
9.83730000,0.809524953365326,1134.30602462204
9.83732000,0.798279821872711,1134.30962344096
9.83734000,0.768937468528748,1134.31322225988
9.83736000,0.758011519908905,1134.31682107881
9.83738000,0.762592136859894,1134.32041989773
9.83740000,0.742439210414887,1134.32401871666
9.83742000,0.696642220020294,1134.32761753558
9.83744000,0.663592100143433,1134.3312163545
9.83746000,0.645926594734192,1134.33481517343
9.83748000,0.615148067474365,1134.33841399235
9.83750000,0.579864025115967,1134.34201281127
9.83752000,0.573678255081177,1134.3456116302
9.83754000,0.58029580116272,1134.34921044912
9.83756000,0.563728511333466,1134.35280926804
9.83758000,0.51788455247879,1134.35640808697
9.83760000,0.48888948559761,1134.36000690589
9.83762000,0.483388990163803,1134.36360572482
9.83764000,0.472369164228439,1134.36720454374
9.83766000,0.4388028383255,1134.37080336266
9.83768000,0.429040789604187,1134.37440218159
9.83770000,0.434607028961182,1134.37800100051
9.83772000,0.429059565067291,1134.38159981943
9.83774000,0.409460455179214,1134.38519863836
9.83776000,0.398262292146683,1134.38879745728
9.83778000,0.410793334245682,1134.3923962762
9.83780000,0.405677646398544,1134.39599509513
9.83782000,0.383788198232651,1134.39959391405
9.83784000,0.385046005249023,1134.40319273298
9.83786000,0.419044107198715,1134.4067915519
9.83788000,0.449653685092926,1134.41039037082
9.83790000,0.455126047134399,1134.41398918975
9.83792000,0.472894817590713,1134.41758800867
9.83794000,0.505287826061249,1134.42118682759
9.83796000,0.518973410129547,1134.42478564652
9.83798000,0.505635142326355,1134.42838446544
9.83800000,0.507427930831909,1134.43198328437
9.83802000,0.545865893363953,1134.43558210329
9.83804000,0.571913599967957,1134.43918092221
9.83806000,0.580408453941345,1134.44277974114
9.83808000,0.586988389492035,1134.44637856006
9.83810000,0.608389794826508,1134.44997737898
9.83812000,0.620413959026337,1134.45357619791
9.83814000,0.608774602413177,1134.45717501683
9.83816000,0.613383412361145,1134.46077383575
9.83818000,0.638914883136749,1134.46437265468
9.83820000,0.658654808998108,1134.4679714736
9.83822000,0.655087888240814,1134.47157029253
9.83824000,0.662052750587463,1134.47516911145
9.83826000,0.710055589675903,1134.47876793037
9.83828000,0.754266262054443,1134.4823667493
9.83830000,0.764610230922699,1134.48596556822
9.83832000,0.771227777004242,1134.48956438714
9.83834000,0.802034497261047,1134.49316320607
9.83836000,0.814114987850189,1134.49676202499
9.83838000,0.807732105255127,1134.50036084391
9.83840000,0.799143433570862,1134.50395966284
9.83842000,0.815513551235199,1134.50755848176
9.83844000,0.826570928096771,1134.51115730069
9.83846000,0.820103585720062,1134.51475611961
9.83848000,0.817006051540375,1134.51835493853
9.83850000,0.834756016731262,1134.52195375746
9.83852000,0.855228066444397,1134.52555257638
9.83854000,0.849370896816254,1134.5291513953
9.83856000,0.83872652053833,1134.53275021423
9.83858000,0.844114422798157,1134.53634903315
9.83860000,0.847240149974823,1134.53994785207
9.83862000,0.827434480190277,1134.543546671
9.83864000,0.810069382190704,1134.54714548992
9.83866000,0.822806894779205,1134.55074430885
9.83868000,0.818676829338074,1134.55434312777
9.83870000,0.793802440166473,1134.55794194669
9.83872000,0.778446018695831,1134.56154076562
9.83874000,0.801105201244354,1134.56513958454
9.83876000,0.826007723808289,1134.56873840346
9.83878000,0.80829530954361,1134.57233722239
9.83880000,0.798692882061005,1134.57593604131
9.83882000,0.812059283256531,1134.57953486024
9.83884000,0.823398292064667,1134.58313367916
9.83886000,0.813298344612122,1134.58673249808
9.83888000,0.796975135803223,1134.59033131701
9.83890000,0.807084441184998,1134.59393013593
9.83892000,0.815353989601135,1134.59752895485
9.83894000,0.791014671325684,1134.60112777378
9.83896000,0.772907972335815,1134.6047265927
9.83898000,0.78239780664444,1134.60832541162
9.83900000,0.807985544204712,1134.61192423055
9.83902000,0.820479035377502,1134.61552304947
9.83904000,0.831573963165283,1134.6191218684
9.83906000,0.863516449928284,1134.62272068732
9.83908000,0.897467613220215,1134.62631950624
9.83910000,0.901851117610931,1134.62991832517
9.83912000,0.892642915248871,1134.63351714409
9.83914000,0.916982233524323,1134.63711596301
9.83916000,0.938092648983002,1134.64071478194
9.83918000,0.934366166591644,1134.64431360086
9.83920000,0.917113661766052,1134.64791241978
9.83922000,0.927617251873016,1134.65151123871
9.83924000,0.933962523937225,1134.65511005763
9.83926000,0.911322176456451,1134.65870887656
9.83928000,0.889094769954681,1134.66230769548
9.83930000,0.894858121871948,1134.6659065144
9.83932000,0.903681516647339,1134.66950533333
9.83934000,0.891122281551361,1134.67310415225
9.83936000,0.883688151836395,1134.67670297117
9.83938000,0.912279605865479,1134.6803017901
9.83940000,0.961005210876465,1134.68390060902
9.83942000,0.989146113395691,1134.68749942795
9.83944000,1.00934600830078,1134.69109824687
9.83946000,1.04483652114868,1134.69469706579
9.83948000,1.08004558086395,1134.69829588472
9.83950000,1.10219788551331,1134.70189470364
9.83952000,1.11045801639557,1134.70549352256
9.83954000,1.14469075202942,1134.70909234149
9.83956000,1.19969606399536,1134.71269116041
9.83958000,1.2237913608551,1134.71628997933
9.83960000,1.21853482723236,1134.71988879826
9.83962000,1.22870051860809,1134.72348761718
9.83964000,1.23108470439911,1134.72708643611
9.83966000,1.18927693367004,1134.73068525503
